Input File Name,Date Created,Minimum TIC Intensity,Maximum BMU Distance
GrobMix_MegaLAP_GC,250216_195433,NaN,NaN
x,y,totalized TIC(cts),log totalized TIC
43,244,18941,4.27740290407683
125,99,20216,4.30569522891186
6,169,20491,4.31156315331991
1,151,20978,4.3217640810755
28,118,20995,4.32211587897396
12,109,21013,4.32248806051808
152,1,21307,4.32852230587734
12,102,21438,4.33118426658608
53,247,21517,4.33278171986291
124,105,21653,4.33551807589423
8,170,21708,4.33661981290744
19,106,21799,4.33843657138245
53,244,21864,4.3397296186846
28,120,21945,4.34133558518099
8,171,22159,4.34555015748774
123,103,22230,4.34693946269899
151,1,22301,4.34832433770039
8,110,22333,4.3489470659256
204,82,22482,4.35183494347744
11,101,22519,4.35254910091623
153,5,22532,4.35279974256331
128,100,22666,4.35537488443161
17,103,22704,4.3561023781134
13,109,22901,4.35985444675036
2,152,23252,4.36646031428435
20,106,23275,4.36688968965338
16,102,23346,4.36821248118739
1,126,24014,4.38046450629772
17,125,24016,4.38050067489919
8,169,24058,4.38125952054885
155,6,24111,4.38221522304753
154,177,25267,4.40255368035325
19,103,25675,4.40951045226932
18,102,25814,4.41185530571895
14,104,26081,4.41632423913641
3,110,26491,4.42309835264547
78,9,26556,4.42416265997488
10,110,26678,4.42615326821598
205,82,26974,4.4309453531684
33,187,26992,4.43123506524505
53,250,27078,4.43261658390379
126,101,27287,4.43595579088924
35,186,27557,4.44023193622679
36,187,27610,4.44106640663926
10,106,27837,4.4446224294425
5,108,27843,4.44471602739155
4,20,27901,4.4456197691051
69,7,27918,4.44588430291691
4,18,27919,4.4458998587126
36,186,28029,4.44760760356731
43,243,28311,4.4519552097682
107,238,28474,4.45444848070169
34,186,28598,4.45633566182361
147,3,29138,4.46445973896545
4,108,29175,4.46501086471741
35,188,29199,4.46536797809504
61,256,29422,4.46867219114615
145,3,29749,4.47347237168537
152,6,29830,4.47465325336206
119,24,29897,4.47562761144108
23,1,29938,4.47622278405058
6,17,30693,4.48703933938556
19,105,30801,4.48856481674174
12,106,31046,4.49200565314923
120,23,31102,4.49278831703443
29,7,31336,4.49604355853981
144,4,31447,4.49757922066872
147,2,31724,4.50138794120562
8,104,32133,4.50695127403032
30,184,32181,4.50759953534207
29,8,32194,4.50777493971773
17,1,33272,4.52207890735688
1,200,33322,4.52273106004858
33,191,33354,4.5231479244222
32,191,33656,4.52706249900894
208,83,33935,4.53064785352749
43,173,34060,4.53224464362658
206,85,34143,4.5333016780618
16,1,34439,4.53705053242194
72,7,35238,4.5470112512266
213,95,35298,4.54775009877109
160,1,35377,4.5487210015899
23,102,35702,4.55269254565378
22,103,35800,4.55388302664387
45,227,36106,4.55757937781618
34,190,36142,4.55801218156555
32,192,36289,4.55977500070357
39,178,36545,4.56282796621999
27,9,36680,4.56442932699798
35,193,36733,4.56505639881196
42,173,36878,4.56676735998147
33,193,36994,4.56813129222395
34,191,37065,4.56896400445776
21,108,37223,4.57081137231278
39,177,37348,4.57226735013482
81,8,37363,4.57244173991185
77,7,37437,4.57330103943446
1,198,38218,4.58226795609182
34,180,39133,4.59254314290461
167,75,39246,4.59379539951561
121,18,39613,4.59783773394958
44,228,39688,4.59865921402813
34,196,39787,4.59974119391984
83,8,39808,4.59997035867471
107,237,40246,4.6047227228591
34,194,40307,4.60538047535646
199,79,40632,4.60886819982054
2,108,40698,4.60957306744867
168,76,40925,4.61198868808398
2,202,41045,4.61326026000197
167,74,41267,4.61560289798324
131,17,41378,4.61676949527232
20,103,41431,4.61732541578057
124,102,41796,4.62113472050586
123,104,42432,4.62769350238866
21,104,42581,4.62921585647718
32,194,42730,4.6307328928172
130,16,42887,4.63232566785218
9,109,43578,4.63926729454504
200,79,43610,4.63958608667343
59,256,43841,4.64188045171556
12,107,43863,4.64209833183055
1,107,44038,4.64382758712335
124,103,44607,4.64940301617466
10,107,44611,4.64944195849412
120,25,44918,4.65242041080623
44,172,45342,4.65650067260142
131,19,45630,4.65925046877266
70,28,45741,4.66030565501788
176,68,45782,4.66069476103383
214,91,45945,4.66223825586225
119,26,46193,4.66457616837638
35,195,46332,4.66588104767167
30,9,46504,4.66749030994833
173,66,46579,4.66819016047295
172,67,46588,4.66827406679921
154,7,47285,4.67472339337231
6,168,47862,4.67999084243487
11,104,47940,4.68069802969764
130,18,48138,4.68248804258614
49,248,48932,4.68959296706206
156,11,49224,4.69217690207997
67,16,49810,4.69731654173238
125,102,50155,4.70031423474762
35,198,50416,4.70256838582992
66,16,50768,4.70559005475634
210,72,51458,4.71145290263136
9,107,51955,4.71562734915822
121,25,53553,4.72878380470946
35,196,55607,4.74512946550326
206,83,55789,4.74654857689031
1,109,55909,4.74748172444673
4,19,55968,4.74793978779858
35,187,57348,4.75851827656842
44,224,58271,4.76545247116644
4,110,58401,4.76642028359808
1,10,58480,4.7670073639498
20,102,59155,4.77199145869576
21,105,60002,4.7781657266251
178,66,60581,4.78233643787926
30,11,60759,4.78361061742815
4,109,62101,4.79309859359019
9,105,62115,4.79319648955806
71,31,63181,4.80058649543815
40,167,63526,4.8029515102602
10,104,64351,4.80855530013096
11,110,65056,4.81328735695794
49,247,65596,4.81687735719742
33,190,65710,4.81763146719052
12,104,65985,4.81944522103254
10,109,66184,4.82075301131932
12,103,68765,4.83736744732656
9,108,69030,4.83903787338831
28,8,70155,4.84605862896418
11,105,70438,4.84780701621496
1,123,71509,4.85436070479911
50,244,72113,4.85801356318462
121,23,72819,4.86224471061188
124,104,73101,4.86392331801821
65,133,74136,4.87002915001306
200,235,75393,4.87733102488172
36,196,76115,4.88147025171522
4,202,78002,4.89210573830366
123,18,78422,4.89443791393827
36,197,80638,4.90653974777537
6,108,82369,4.91576379346798
208,69,84421,4.92645049223807
204,84,86182,4.93541656841196
212,95,87523,4.94212219542807
60,256,87613,4.94256855148064
11,107,88186,4.94539964402811
46,243,88991,4.9493460870047
45,243,89242,4.95056929468252
13,101,90170,4.95506206967503
21,103,91811,4.96289471772745
41,169,91852,4.96308861714163
120,20,92059,4.96406625301678
207,84,92167,4.9645754516035
51,245,92647,4.96683136100473
209,94,92696,4.96706099395671
43,171,93263,4.96970938133604
119,27,93357,4.97014688733488
49,243,93508,4.97084876816908
49,245,94327,4.97463602224574
216,89,94367,4.97482014871013
27,8,94644,4.97609308687365
21,106,95451,4.97978048267423
125,100,96458,4.98433825283811
10,171,98275,4.99244305249213
207,92,98277,4.99245189075339
8,105,99212,4.99656420459969
7,167,100088,5.00038201108384
63,134,100313,5.00135721878727
12,110,100775,5.00335280682509
2,153,101368,5.00590087790886
3,202,101856,5.00798661694091
47,247,105018,5.02126374317181
62,133,107007,5.02941218854443
125,101,109077,5.03773318481266
27,119,111631,5.04778481520556
48,248,112651,5.05173505129779
12,105,113190,5.05380805992066
1,11,113888,5.05647796632375
210,94,115166,5.06132428297759
179,67,115485,5.06252557868462
199,233,115487,5.06253309984704
34,188,116168,5.06508651241439
1,12,117697,5.07076539317436
43,172,117989,5.07184152034017
