Input File Name,Date Created,Minimum TIC Intensity,Maximum BMU Distance
GrobMix_VF200_GC,250216_200118,NaN,NaN
x,y,totalized TIC(cts),log totalized TIC
67,11,4014,3.60357736815147
52,242,4125,3.61542395288594
59,226,4130,3.6159500516564
58,85,4132,3.61616031284758
43,90,4181,3.62128016755041
155,177,4251,3.62849110496712
32,105,4254,3.62879748556671
79,137,4314,3.63488014076653
29,119,4362,3.63968566124268
68,89,4419,3.64532400156229
12,98,4465,3.64982146322457
11,118,4476,3.65089007785631
33,115,4484,3.65166560392294
52,96,4501,3.65330901293848
54,92,4518,3.65494622658434
12,99,4559,3.65886959220196
164,78,4583,3.66114985724479
69,33,4586,3.66143405039392
27,120,4616,3.66426580014768
15,98,4620,3.66464197555613
53,239,4652,3.66763970605641
24,97,4653,3.66773305253327
54,246,4660,3.66838591669
15,15,4662,3.66857226918456
52,95,4668,3.66913084737333
15,97,4692,3.67135800344349
13,125,4707,3.6727441983066
154,1,4711,3.67311310423823
28,117,4712,3.67320528177905
1,139,4716,3.67357379642305
13,99,4722,3.67412598274271
152,3,4738,3.67559505638675
54,94,4744,3.67614468035621
27,111,4745,3.67623621676331
60,229,4756,3.67724184594665
21,96,4759,3.67751570479876
36,103,4802,3.68142215572101
69,11,4825,3.68349731767981
58,226,4851,3.68583127462606
67,7,4853,3.68601029131529
166,75,4860,3.68663626926229
53,246,4882,3.68859777508117
151,2,4883,3.68868672428412
55,234,4886,3.68895346263742
18,107,4897,3.68993010401822
18,99,4905,3.69063901171597
6,17,4907,3.69081605798092
56,239,4909,3.69099303209987
5,22,4938,3.69355108559591
2,12,4965,3.6959192528314
57,91,4971,3.696443763139
26,99,5004,3.69931730102138
204,81,5013,3.70009770461305
58,90,5024,3.70104963072914
57,230,5027,3.70130888522808
6,16,5035,3.70199947488964
55,231,5042,3.70260284134043
7,17,5060,3.7041505168398
14,110,5061,3.70423633730879
14,100,5063,3.70440792738684
56,85,5075,3.70543604658525
5,30,5093,3.70697367617618
4,26,5100,3.70757017609794
12,112,5100,3.70757017609794
99,25,5106,3.70808081046823
151,3,5112,3.70859084515034
17,101,5113,3.70867579272654
14,17,5145,3.71138537909845
16,111,5172,3.71365851620836
17,22,5179,3.71424591101789
51,233,5179,3.71424591101789
100,24,5184,3.71466499286254
20,102,5203,3.71625382589604
13,110,5214,3.71717102683231
11,99,5219,3.71758729685546
25,114,5219,3.71758729685546
54,232,5234,3.71883371830386
61,230,5244,3.71966268301805
54,93,5259,3.72090317081346
21,106,5264,3.7213158806059
13,98,5268,3.72164576628975
70,33,5286,3.72312715879569
144,1,5320,3.72591163229505
1,124,5334,3.72705301135386
21,98,5340,3.72754125702856
34,103,5344,3.72786644946749
52,240,5359,3.72908375704361
2,11,5384,3.73110505121592
12,100,5415,3.73359846096134
42,184,5454,3.73671513360561
27,112,5480,3.73878055848437
58,227,5481,3.7388598020722
19,102,5498,3.74020473550745
52,239,5501,3.74044164494977
58,228,5515,3.74154551677621
143,5,5547,3.74405816587884
57,86,5550,3.74429298312268
79,140,5600,3.7481880270062
80,138,5608,3.7488080049586
153,3,5614,3.74927240829842
26,98,5648,3.75189468804375
1,33,5651,3.7521253072979
13,101,5691,3.75518858560832
58,87,5711,3.75671216016477
23,100,5721,3.75747194776567
100,23,5727,3.75792718311333
3,28,5769,3.76110053895814
58,88,5781,3.76200296937512
154,4,5783,3.76215319230359
28,83,5787,3.76245348236355
1,25,5792,3.76282855318909
28,111,5802,3.76357772446665
17,107,5844,3.76671020726226
4,30,5859,3.76782349800752
59,228,5909,3.77151398997967
204,83,5962,3.77539197169661
26,102,5979,3.77662855342015
20,2,5987,3.77720925814568
73,6,6019,3.77952434332479
142,4,6024,3.77988496319264
3,18,6032,3.78046133286172
56,250,6062,3.7826159320316
54,233,6083,3.78411781646292
143,1,6084,3.78418920538096
69,136,6096,3.78504495833154
46,86,6164,3.78986263004638
35,105,6165,3.78993308093175
12,110,6176,3.79070728732768
201,235,6182,3.79112900072729
43,94,6227,3.7942788657214
38,186,6248,3.79574102086924
55,230,6251,3.7959494989028
46,59,6338,3.80195223485428
60,228,6430,3.80821097292422
4,17,6443,3.80908813134635
10,172,6451,3.80962704189405
26,118,6460,3.81023251799508
42,91,6513,3.81378107817408
132,10,6521,3.81431420020746
120,30,6594,3.81914894280713
45,87,6618,3.82072676282383
66,92,6622,3.82098917641605
66,8,6637,3.82197181764204
68,133,6704,3.82633400562222
29,7,6751,3.82936810798882
130,7,6878,3.83746217148599
239,6,6922,3.84023159495811
11,97,7021,3.84639897303467
37,185,7051,3.84825071467704
28,8,7055,3.84849701809037
3,20,7062,3.84892771322708
119,23,7083,3.85021724179839
79,8,7104,3.85150295277054
233,78,7111,3.85193067864027
34,186,7160,3.85491302230786
32,189,7179,3.8560639533331
120,20,7190,3.85672889038288
82,9,7288,3.86260836396494
118,28,7402,3.86934908075909
68,28,7468,3.87320430927704
206,89,7488,3.87436583573005
153,9,7500,3.8750612633917
204,85,7615,3.88166990767206
75,5,7619,3.88189797357301
27,8,7634,3.88275215561308
119,22,7656,3.88400192476879
214,95,7726,3.8879547038088
166,74,7808,3.89253980465864
27,7,7921,3.89878001328983
66,10,7973,3.90162176409336
59,230,8042,3.90536406876689
211,33,8045,3.90552604843505
205,86,8111,3.9090744014009
28,7,8185,3.91301868374796
118,27,8250,3.91645394854993
120,29,8290,3.91855453055027
1,199,8357,3.92205040216717
153,8,8392,3.9238654751855
214,23,8465,3.92762696244495
201,234,8474,3.92808845966497
61,226,8596,3.93429640681941
38,189,8659,3.93746773964338
29,8,8710,3.94001815500766
121,30,8774,3.94319763006893
158,11,8788,3.94389004824847
130,15,8801,3.94453202099198
53,248,8815,3.94522231663534
201,233,8824,3.94566549943213
34,190,8844,3.94664873390668
206,88,8872,3.9480215331411
212,95,8909,3.94982895893531
213,14,8914,3.95007262975016
234,1,8962,3.95240493957702
119,26,9060,3.95712819767681
153,4,9083,3.95822931418838
16,2,9150,3.96142109406645
23,99,9255,3.96637642308892
16,101,9264,3.96679854638336
147,3,9277,3.96740755659747
33,189,9283,3.96768835045331
152,2,9316,3.96922947986264
72,5,9330,3.9698816437465
23,94,9374,3.97192494918419
58,230,9431,3.97455774485358
36,192,9471,3.97639583661188
213,95,9558,3.98036702618478
33,194,9618,3.98308477273779
166,76,9624,3.98335561433179
77,6,9652,3.98461731323675
38,191,9682,3.98596507830487
42,195,9693,3.98645821273731
207,82,9694,3.98650301538674
59,227,9695,3.98654781341472
21,95,9701,3.98681650458554
55,91,9734,3.98829134190749
13,112,9768,3.98980565093683
30,104,9780,3.9903388547876
68,34,9805,3.9914475980038
33,192,9840,3.99299509843134
67,10,9848,3.99334803992326
164,76,9849,3.993392137449
246,2,9914,3.99624891456913
25,99,10028,4.00121432528618
132,20,10044,4.00190670404089
11,22,10080,4.00346053210951
32,114,10095,4.00410632327966
54,248,10097,4.00419235625971
53,237,10114,4.00492294929653
209,92,10119,4.00513759590886
69,34,10196,4.00842982679723
246,1,10263,4.01127432890473
68,136,10279,4.0119508660594
76,5,10321,4.01372177805106
119,28,10325,4.01389006032844
70,5,10349,4.01489838694621
25,98,10359,4.01531783306912
67,16,10456,4.01936557457249
66,15,10476,4.02019548975319
11,110,10536,4.02267576195373
153,1,10537,4.02271698005103
2,202,10539,4.02279940451169
49,236,10555,4.02345823764368
28,9,10628,4.02645154573824
36,100,10701,4.02942436405802
26,119,10713,4.02991110491244
67,36,10717,4.03007323071252
19,101,10745,4.03120641982746
119,20,10749,4.03136806288577
14,1,10750,4.03140846425162
152,4,10831,4.03466855583424
1,200,10832,4.03470865134107
63,133,10838,4.03494914667637
21,100,10853,4.03554980301006
222,20,10875,4.03642926562668
53,245,10967,4.04008784346988
39,194,10973,4.04032537919972
31,105,11064,4.04391216710125
57,92,11081,4.04457895487661
65,37,11107,4.04559677186758
76,6,11118,4.04602666970254
69,5,11160,4.04766419460156
56,242,11198,4.04914046315896
122,30,11256,4.05138408442669
17,1,11287,4.05257852504466
33,193,11527,4.0617162931599
215,24,11568,4.06325827995046
120,28,11570,4.06333335895175
129,15,11574,4.06348347802753
238,46,11574,4.06348347802753
154,6,11604,4.06460772013063
211,16,11622,4.06528087110275
37,200,11672,4.06714527888539
79,9,11678,4.06736847091527
123,16,11721,4.06896466594445
25,97,11785,4.07132958686034
54,247,11844,4.07349839871726
36,194,11908,4.07583882597469
17,3,12089,4.08239037758172
167,76,12134,4.08400399060803
245,6,12275,4.08902150079501
78,7,12297,4.08979917303616
5,29,12297,4.08979917303616
55,236,12316,4.09046968023116
36,185,12400,4.09342168516223
244,5,12506,4.09711842434465
4,19,12520,4.09760432887441
143,2,12590,4.10002573010786
34,195,12624,4.10119698586534
131,20,12717,4.10438467128788
24,99,12741,4.10520351571034
68,31,12815,4.10771861052026
121,24,12837,4.1084635412036
204,82,12861,4.10927473823029
3,203,12927,4.11149774880803
22,2,13111,4.11763581738949
238,53,13149,4.11889272537362
120,22,13157,4.1191568746903
205,83,13195,4.12040939455607
35,193,13208,4.12083706025474
1,204,13460,4.12904505988796
80,7,13469,4.12933535291649
21,2,13560,4.13225968953104
29,10,13867,4.1419825155528
239,46,13897,4.14292105751561
62,132,13906,4.1432022250496
35,195,14155,4.15090987370112
118,25,14209,4.15256351425654
28,6,14237,4.15341848503771
55,249,14259,4.15408906901442
53,93,14292,4.1550930075304
33,195,14666,4.16631168065959
37,188,14762,4.1691452009912
18,2,14900,4.17318626841227
120,19,15061,4.1778538085223
34,104,15065,4.17796913600938
23,97,15121,4.17958051339541
2,125,15186,4.1814433955419
237,50,15216,4.18230049959334
29,11,15225,4.18255730130491
53,247,15241,4.18301346308193
206,82,15251,4.18329832107581
208,83,15280,4.18412335423967
56,92,15290,4.18440748541232
146,1,15294,4.18452108585291
209,91,15546,4.19161866336947
237,51,15586,4.19273467190316
78,139,15635,4.19409788557895
71,7,15689,4.19559526300553
36,195,15695,4.19576132003606
68,129,15769,4.19780415317341
25,100,15922,4.20199761958311
57,229,15960,4.20303288701471
5,17,15987,4.20376697496057
142,5,16055,4.20561030990252
36,189,16117,4.2072842059122
