Input File Name,Date Created,Time Range [min],,m/z Range,,Noise Limit[cts],alpha,SOM,SOM x size,SOM y size,,
GrobMix_VF200_GC,250216_195941,2.0919,15,50,200,NaN,0.65,Talanta256SOM.h5,256,256,nan,nan
RT(ms),RT(min),TIC(cts),Rt(BMUs),Difference,x,y,H,S,L,R,G,B
125512,2.09186666666667,32302,2.09186666666667,1.64829436737836,165,76,0.403309727361188,0.351326260457832,0.979037929121574,0.971673403148405,0.986402455094744,0.977857518804327
125791,2.09651666666667,31415,2.09651666666667,1.58216601612527,165,77,0.401870431756676,0.346829098926045,0.97969027320179,0.972646268956933,0.986734277446647,0.978439576303623
126070,2.10116666666667,30941,2.10116666666667,1.75086240505114,165,76,0.403309727361188,0.351326260457832,0.980038780587128,0.973025880016626,0.987051681157631,0.978914729939822
126350,2.10583333333333,32090,2.10583333333333,1.68121372949538,164,77,0.403946423324429,0.343681208879033,0.979193865785239,0.97204318842621,0.986344543144267,0.978102365512414
126629,2.11048333333333,31303,2.11048333333333,1.60858404448747,165,77,0.401870431756676,0.346829098926045,0.979772626960964,0.972757185396195,0.986788068525734,0.978527001504289
126908,2.11513333333333,30930,2.11513333333333,1.50754173265421,165,77,0.401870431756676,0.346829098926045,0.980046867518934,0.973126540559773,0.986967194478094,0.978818130118833
127188,2.1198,30780,2.1198,1.72487022111292,165,76,0.403309727361188,0.351326260457832,0.980157140276282,0.973185822572759,0.987128457979805,0.97903975466694
127467,2.12445,28939,2.12445,1.87342091535344,165,77,0.401870431756676,0.346829098926045,0.98151001095826,0.975097144719761,0.987922877196759,0.980371375654526
127746,2.1291,28839,2.1291,1.76357078523922,164,77,0.403946423324429,0.343681208879033,0.981583467844844,0.975254051810401,0.987912883879288,0.980617327298776
128026,2.13376666666667,29144,2.13376666666667,1.83759442742521,70,7,0.571416538280031,0.74093360754915,0.981359415085476,0.967547979257931,0.98333447168726,0.99517085091302
128305,2.13841666666667,29816,2.13841666666667,1.72856210512621,165,77,0.401870431756676,0.346829098926045,0.980865667186302,0.974229323777977,0.987502010594628,0.979687352434147
128584,2.14306666666667,34794,2.14306666666667,1.54354903487926,103,26,0.538806838583447,0.580353485260599,0.977203933949337,0.963974157566604,0.984272840773112,0.99043371033207
128864,2.14773333333333,43716,2.14773333333333,0.881253130639763,104,30,0.538799416004258,0.55769907428364,0.970622497126021,0.954238690968438,0.97937811795351,0.987006303283604
129143,2.15238333333333,40754,2.15238333333333,0.978201039564238,104,31,0.539181549345376,0.552368624827221,0.972810115062661,0.957791275710613,0.980767417672519,0.987828954414709
129422,2.15703333333333,35140,2.15703333333333,1.38173302065826,104,26,0.537341299046751,0.579051542025981,0.976949147655467,0.963601516060352,0.984315764415074,0.990296779250582
129701,2.16168333333333,32359,2.16168333333333,1.70867818402295,103,26,0.538806838583447,0.580353485260599,0.978996000473173,0.966806256143368,0.985509199516016,0.991185744802979
129981,2.16635,30589,2.16635,1.92173154747662,21,1,0.611487459895109,0.916323081327358,0.980297544586007,0.962243729931342,0.974198071993484,0.998351359240672
130260,2.171,29163,2.171,1.99814627856133,21,1,0.611487459895109,0.916323081327358,0.981345456789116,0.964251868273364,0.975570396135507,0.998439045304868
130539,2.17565,28433,2.17565,1.66266905202879,22,1,0.610755024883742,0.912791003997424,0.98188167240584,0.965343425970412,0.976439592095396,0.998419918841267
130819,2.18031666666667,27316,2.18031666666667,1.79741035520611,71,6,0.569846626751886,0.743536736413426,0.982701850680336,0.969840041189201,0.984783412088897,0.995563660171471
131098,2.18496666666667,28026,2.18496666666667,1.78622534330987,70,6,0.57090793276944,0.745887974771889,0.982180562521752,0.968889258389527,0.984162359856065,0.995471866653977
131377,2.18961666666667,27354,2.18961666666667,1.82178269062402,166,77,0.399832125008754,0.350034931925957,0.982673954522436,0.976609233373151,0.988738675671721,0.981448792912461
131657,2.19428333333333,28188,2.19428333333333,1.55972314249494,166,77,0.399832125008754,0.350034931925957,0.982061599842594,0.975782533164636,0.988340666520552,0.98079313732784
131936,2.19893333333333,29446,2.19893333333333,1.85627179434918,167,75,0.400722837586587,0.362158358302479,0.981137538981488,0.97430634106548,0.987968736897497,0.979830553557668
132215,2.20358333333333,29060,2.20358333333333,1.68067804787569,167,77,0.397831136802497,0.353297130551927,0.981421124167319,0.974857260646751,0.987984987687885,0.979937517998927
132495,2.20825,28294,2.20825,1.68564621530315,109,1,0.524154174659513,0.708695367913373,0.981983755865024,0.96921572709937,0.991050970268318,0.994751784630678
132774,2.2129,28192,2.2129,1.82045890803131,109,1,0.524154174659513,0.708695367913373,0.982058662394331,0.969343719539023,0.991088177843484,0.994773605249639
133053,2.21755,26773,2.21755,1.66421328336882,54,235,0.90285010302867,0.714127201346465,0.983100425527305,0.995168871349437,0.971031979705174,0.985101358923864
133333,2.22221666666667,26551,2.22221666666667,1.66453313330908,54,235,0.90285010302867,0.714127201346465,0.983263353722108,0.995215448088465,0.971311259355752,0.985244996191149
133612,2.22686666666667,25225,2.22686666666667,1.70554239055558,166,77,0.399832125008754,0.350034931925957,0.984236216895452,0.978718342149555,0.989754091641348,0.983121526188176
133891,2.23151666666667,26342,2.23151666666667,1.71610610532011,166,77,0.399832125008754,0.350034931925957,0.983416727792667,0.977612003234464,0.989221452350871,0.982244089264014
134171,2.23618333333333,25204,2.23618333333333,1.8990325151963,165,76,0.403309727361188,0.351326260457832,0.984251620065056,0.978718800634243,0.989784439495869,0.98336480166515
134450,2.24083333333333,24964,2.24083333333333,1.59606542066918,54,235,0.90285010302867,0.714127201346465,0.984427647071903,0.995548287886824,0.973307006256982,0.986271435570079
134729,2.24548333333333,25206,2.24548333333333,1.62396316896432,165,77,0.401870431756676,0.346829098926045,0.984250153102115,0.978787647894298,0.989712658309931,0.983280258979092
135009,2.25015,23881,2.25015,1.82037479762322,83,10,0.558347510871579,0.697445179933302,0.98522175825474,0.974914744781619,0.988312108759743,0.995528771727861
135288,2.2548,23505,2.2548,1.76711579102787,70,7,0.571416538280031,0.74093360754915,0.985497380156976,0.974751901717771,0.987034000128692,0.996242858596182
135567,2.25945,34636,2.25945,0.960468018601654,104,30,0.538799416004258,0.55769907428364,0.977320269551482,0.964671804875341,0.984079697714206,0.989968734227623
135847,2.26411666666667,39381,2.26411666666667,0.829413326764832,104,31,0.539181549345376,0.552368624827221,0.973823261247748,0.959364052060705,0.981484059815704,0.988282470434791
136126,2.26876666666667,37326,2.26876666666667,0.916518234762814,104,30,0.538799416004258,0.55769907428364,0.975338600441455,0.961584960737116,0.982688641884259,0.989092240145795
136405,2.27341666666667,33106,2.27341666666667,1.01153486301525,103,28,0.539548001293781,0.569695703036883,0.978446425097728,0.966167446090819,0.984898095172818,0.990725404104636
136685,2.27808333333333,29578,2.27808333333333,1.10523939459801,104,30,0.538799416004258,0.55769907428364,0.981040551536574,0.970466884679594,0.986691193204662,0.991614218393555
136964,2.28273333333333,27425,2.28273333333333,1.59509803229253,103,25,0.53844637636571,0.585686967179336,0.982621831611019,0.972443664872145,0.988104234800024,0.992799998349893
137243,2.28738333333333,27168,2.28738333333333,1.83286614254372,70,6,0.57090793276944,0.745887974771889,0.98281049481013,0.969989049596727,0.984722233921145,0.995631940023533
137523,2.29205,26128,2.29205,1.71705590944883,101,25,0.541332560422231,0.588412542465249,0.983573757754475,0.973908350791636,0.98844521250975,0.993239164717315
137802,2.2967,25017,2.2967,1.636602002691,70,6,0.57090793276944,0.745887974771889,0.984388775899428,0.972744551571343,0.986124985717816,0.996033000227514
138081,2.30135,22882,2.30135,1.61673103632356,69,6,0.571962522220873,0.748272171474759,0.985953970853291,0.975443718123086,0.987388092035764,0.996464223583497
138360,2.306,23298,2.306,1.95396720201209,70,7,0.571416538280031,0.74093360754915,0.985649101095963,0.975016037799422,0.987169645529087,0.996282164392504
138640,2.31066666666667,23216,2.31066666666667,1.9779538546549,70,7,0.571416538280031,0.74093360754915,0.985709199633028,0.975120665362362,0.987223376346848,0.996297733903693
138919,2.31531666666667,23286,2.31531666666667,1.95709880387748,22,1,0.610755024883742,0.912791003997424,0.985657896127073,0.972566552733468,0.981350054760834,0.998749239520677
139198,2.31996666666667,22041,2.31996666666667,1.65365757576315,54,234,0.902143742644502,0.709631923245815,0.986570151128433,0.996100400612064,0.977039901644802,0.988231036198389
139478,2.32463333333333,22757,2.32463333333333,1.65609428796107,71,6,0.569846626751886,0.743536736413426,0.986045568434809,0.975669935930322,0.987724765769028,0.996421200939296
139757,2.32928333333333,22505,2.32928333333333,1.76078542773692,53,234,0.90114161643762,0.712815477584436,0.986230215231829,0.996045530937588,0.976414899526071,0.98805881446398
140036,2.33393333333333,22947,2.33393333333333,1.6389104192792,70,7,0.571416538280031,0.74093360754915,0.985906338300016,0.975463870693069,0.987399627255888,0.996348805906962
140316,2.3386,21608,2.3386,1.78162844062832,70,7,0.571416538280031,0.74093360754915,0.986887318910312,0.977171692805888,0.988276668411523,0.996602945014736
140595,2.34325,20851,2.34325,2.01661648425434,70,7,0.571416538280031,0.74093360754915,0.987441681349788,0.978136801007534,0.988772293574197,0.996746561692041
140874,2.3479,21843,2.3479,1.70083035532031,71,6,0.569846626751886,0.743536736413426,0.986715190782827,0.976837447093615,0.988313809552704,0.996592934472039
141154,2.35256666666667,20202,2.35256666666667,1.76797605386843,70,7,0.571416538280031,0.74093360754915,0.987916820378818,0.978963986511432,0.989197089414945,0.996869654246205
141433,2.35721666666667,21379,2.35721666666667,1.68033436120974,53,233,0.900423164026116,0.708354495328296,0.987055036726784,0.996224659653226,0.977885413800342,0.988842398257406
141712,2.36186666666667,19714,2.36186666666667,1.67775280315806,70,7,0.571416538280031,0.74093360754915,0.988274008754744,0.979585827759307,0.989516432022448,0.996962189750181
141992,2.36653333333333,19820,2.36653333333333,1.84753164422078,69,7,0.572476508662064,0.743333695247321,0.988196428665488,0.97942243636829,0.989339521017941,0.996970420962686
